sha256,file_size,packed,local_score,intel_score,score,heuristic_score,cfg_nodes,cfg_edges,cfg_cyclomatic,cfg_max_depth,cfg_avg_depth,cfg_loop_count,cfg_scc_count,strings_total_count,strings_b64_count,api_risk_score,platform,family,source
5f6d901c7626694b8e0e37e572a375488980cd240782d9a5e82f4c463a9b098a,6501247,0,26.0,0.0,26.0,26.0,64,96,34,64,20.2812,0,64,18135,589,0.0,Android,Android.Generic,Local
e913b436fe3debd25ed0fa24e84e313f104490be66687a584f9cc15e0b23d9c8,92367160,0,40.0,0.0,40.0,40.0,137,167,32,137,54.9854,0,137,150019,31,14.0,Windows,Win.Suspicious.Generic,MalwareBazaar
fe045f14341b216640c6c732cf2d5d96eca4a98a61296ca37bc8bb02318ac1b3,4472320,1,41.0,0.0,41.0,41.0,153,194,43,153,59.0196,0,153,19300,414,40.0,Windows,ValleyRAT,MalwareBazaar
fd79e8fa5e3801101a1305b6aba7a5e7fdc852ed9036d6d9a5210be414a5cc5a,574976,1,33.0,0.0,33.0,33.0,113,141,30,113,44.1239,0,113,2194,59,6.0,Windows,Emotet,MalwareBazaar
fdad2f108dcefa145a1c04a3c87436af85a47696bd5c1dd1bf790bb57e3e5bbf,738170,0,33.0,0.0,33.0,33.0,21,50,31,21,5.0952,0,21,1216,2,30.0,Android,Android.Suspicious.Generic,MalwareBazaar
fc21a103ecc58048bb6d431cbd4ba89f2c69f97f45ba2c1b0810d657f50c29b8,2733848,1,33.0,0.0,33.0,33.0,2,1,1,2,1.5,0,2,44825,10,10.0,Windows,CoinMiner,MalwareBazaar
f29a85a0a8d5c438141903be9402dfea15cc0eb89e356da5b53d31edfabed15e,6731632,0,22.0,0.0,22.0,22.0,140,166,28,140,58.0,0,140,11841,28,12.0,Windows,Emotet,MalwareBazaar
fa11e21144149812a1c61c9bf7f8351753aed2348075ced4d6b479e850474969,584192,0,18.0,0.0,18.0,18.0,114,138,26,114,46.0965,0,114,1382,73,6.0,Windows,Emotet,MalwareBazaar
fa670b1973f600fb77ef2b0896caf26926a6fe106aeb5890c3f303d866c83a38,5122560,0,20.0,0.0,20.0,20.0,2,1,1,2,1.5,0,2,4642,161,32.0,Windows,ACRStealer,MalwareBazaar
fbf4fe062779de9044679f800b98930b9c3642f242a00458951ccabd4cf3e347,3072,0,2.0,0.0,2.0,2.0,16,22,8,16,5.75,0,16,38,2,0.0,Windows,Win.Generic,MalwareBazaar
fb967e4daa07ff3777fd4495133bef6544676a315409990f68057506d706c1e4,5401317,0,22.0,0.0,22.0,22.0,6,9,5,6,2.5,0,6,9948,56,8.0,Android,Kimwolf,MalwareBazaar
fc7a60ad4b82d6f520198e43918027eda379ec0e51d66fb3f4146c2bce4f8dd7,270336,0,34.0,0.0,34.0,34.0,74,108,36,74,24.1216,0,74,458,33,30.0,Windows,Emotet,MalwareBazaar
eda7b5698cc90a97e44fa863f16d19526a830b57769a9f89097659df88e985fa,9334034,0,59.5,0.0,59.5,59.5,47,68,23,47,15.8085,0,47,24374,301,8.0,Android,Android.Trojan.Overlay,MalwareBazaar
287f9e123b34b3d908e1198c6c812d9f6d65b61eecceddbcd685d7028bbe5b20,120200,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,193,1,0.0,Unknown,Unknown.Generic,Local
f546690d185b892ddfc311aa5cd0b710a6ae5e803c3b1b238283fc080277f98c,1635456,0,26.0,0.0,26.0,26.0,140,161,23,140,60.4429,0,140,4938,278,16.0,Windows,Smoke Loader,MalwareBazaar
f5d4dc3947d2a2db3572d9ff54b03d8db9097ccc18d27c53c5deacdafce69a4b,58368,0,13.0,0.0,13.0,13.0,503,585,84,36,18.0,12,342,136,1,38.0,Windows,Heodo,MalwareBazaar
f7912a3d9af87e08df8f39d14b22fae25b7a425a1c26e5b41c26655aafe2d424,990720,0,36.0,0.0,36.0,36.0,12,14,4,12,5.0,0,12,4134,63,48.0,Windows,Win.Generic,MalwareBazaar
f10052e10c319749ccd6aead272df3e831e4d4224a32ac589e1a577db38e2b70,479543,0,24.0,0.0,24.0,24.0,111,161,52,111,36.3243,0,111,1174,258,40.0,Windows,Emotet,MalwareBazaar
ef246ba750950b98b7b42d1251a6b0846457d2ecf656b495e82baf09911ddafd,442463,1,39.0,0.0,39.0,39.0,113,169,58,113,35.6991,0,113,2601,393,30.0,Windows,Emotet,MalwareBazaar
ee3f6b75ecceef229900944aa924a21d65ed5eb7f0388c763717c791fcd6e2b4,606110,0,14.0,0.0,14.0,14.0,14,26,14,14,4.5,0,14,761,1,4.0,Android,Mirai,MalwareBazaar
ef036cd46e63f884bb90cdc46ca36706edbbbace48fd344a0aa10820c37fb8ec,615936,0,14.0,0.0,14.0,14.0,90,96,8,90,41.7222,0,90,8142,592,0.0,Windows,SheetRAT,MalwareBazaar
f0e180d5a00ca5ab5c375261bd3b986b3ef7b5474fb5935b64caa7f02fb02148,1080832,1,36.0,0.0,36.0,36.0,173,235,64,173,61.104,0,173,3975,142,22.0,Windows,Emotet,MalwareBazaar
f208dcc388d78245b2a2bd7d87309a5ba257585e070b278d797898b649e3e03b,758272,1,22.0,0.0,22.0,22.0,10,10,2,10,4.9,0,10,2111,2,22.0,Windows,Win.Packed.Generic,MalwareBazaar
ec033c13f06bcccb3d35b46c56003a60516339419ccc75a3738bbcf7f83e52b8,15300630,0,48.0,0.0,48.0,48.0,64,96,34,64,20.2812,0,64,30241,441,12.0,Android,Android.Generic,MalwareBazaar
e9630dd62cb4a53f759d620884205b2c6a1fec90cb65f2c34334488cc826ee9d,20964324,0,27.0,0.0,27.0,27.0,18,26,10,18,6.1667,0,18,33629,13,12.0,Android,Android.Riskware.Installer,MalwareBazaar
